id;kode_prov;nama_prov;kode_kab;id_kab;nama_kab;kode_kec;id_kec;nama_kec;kode_desa;id_desa;nama_desa;klas;kode_sls4;kode_sls6;kdsubsls;id_sls;id_sls6;nama_sls;jenis_sls
114;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;0003;000300;00;71010210110003;7101021011000300;RT 3 DUSUN 2;SLS
115;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;0004;000400;00;71010210110004;7101021011000400;RT 4 DUSUN 3;SLS
116;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;0005;000500;00;71010210110005;7101021011000500;RT 5 DUSUN 4;SLS
117;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;1001;100100;00;71010210111001;7101021011100100;LAHAN PERSAWAHAN;NONSLS
118;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;12;7101021012;TORAUT TENGAH;2;0001;000100;00;71010210120001;7101021012000100;RT 1 DUSUN 1;SLS
119;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;12;7101021012;TORAUT TENGAH;2;0002;000200;00;71010210120002;7101021012000200;RT 2 DUSUN 2;SLS
120;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;12;7101021012;TORAUT TENGAH;2;0003;000300;00;71010210120003;7101021012000300;RT 3 DUSUN 3;SLS
121;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;12;7101021012;TORAUT TENGAH;2;0004;000400;00;71010210120004;7101021012000400;RT 4 DUSUN 4;SLS
122;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;12;7101021012;TORAUT TENGAH;2;1001;100100;00;71010210121001;7101021012100100;PERKEBUNAN;NONSLS
123;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;22;7101022;DUMOGA UTARA;1;7101022001;TUMOKANG BARU;2;0001;000100;00;71010220010001;7101022001000100;RT 01 DUSUN 1;SLS
124;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;22;7101022;DUMOGA UTARA;1;7101022001;TUMOKANG BARU;2;0002;000200;00;71010220010002;7101022001000200;RT 02 DUSUN 1;SLS
125;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;22;7101022;DUMOGA UTARA;1;7101022001;TUMOKANG BARU;2;0003;000300;00;71010220010003;7101022001000300;RT 03 DUSUN 2;SLS
126;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;22;7101022;DUMOGA UTARA;1;7101022001;TUMOKANG BARU;2;0004;000400;00;71010220010004;7101022001000400;RT 04 DUSUN 2;SLS
127;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;22;7101022;DUMOGA UTARA;1;7101022001;TUMOKANG BARU;2;0005;000500;00;71010220010005;7101022001000500;RT 05 DUSUN 2;SLS
